Marke;Strasse;Plz;Ort;Source
Beerdigungsinstitut T. Spannuth e. K.;Römerplatz 4 (Bad Godesberg);53173;Bonn;https://www.bestatter.de/verzeichnis/
Bestattungen Schallenberg Inh. Dirk Schallenberg;Oberstr. 16;53859;Niederkassel;https://www.bestatter.de/verzeichnis/
Bestattungshaus Weisweiler-Klant Inh. Christoph Klant;Burgstr. 13-15;53757;Sankt Augustin;https://www.bestatter.de/verzeichnis/
Wilhelm Kratz Bestattungsinstitut;Kölnstraße 147;53111;Bonn;https://www.bestatter.de/verzeichnis/
Bestattungen Jüliger Inh. Christoph Jüliger;Endenicher Str. 250;53121;Bonn;https://www.bestatter.de/verzeichnis/
Bestattungshaus Raderschad Inh. Hubert Raderschad;An der Pfaffenmütze 1;53117;Bonn;https://www.bestatter.de/verzeichnis/
Guido Mondorf Bestattungen;Buchenweg 10;53844;Troisdorf;https://www.bestatter.de/verzeichnis/
Guido Mondorf Bestattungen;Provinzialstraße 74 (Mondorf);53859;Niederkassel;https://www.bestatter.de/verzeichnis/
Peter Hardt Bestattungsinstitut;Langemarckstr. 5;53227;Bonn;https://www.bestatter.de/verzeichnis/
Dieter Wittmann Bestattungsinstitut;Im Bungert 22;53227;Bonn;https://www.bestatter.de/verzeichnis/
Manfred und Jörg Ungerathen GbR Bestattungsinstitut;Beethovenallee 3;53173;Bonn;https://www.bestatter.de/verzeichnis/
Bonner Bestattungshaus Falkenstein Zweignl. der  Glitsch-Necke Bestattungen GmbH;Burgstr. 81;53177;Bonn;https://www.bestatter.de/verzeichnis/
Matthias Henseler Bestattungen;Olsdorf 65;53347;Alfter;https://www.bestatter.de/verzeichnis/
Hans Menden e. K. Inh. Rosemarie Bassi;Schwannstr. 1;53179;Bonn;https://www.bestatter.de/verzeichnis/
Josef Felder Bestattungen;Kirchstr. 41;53757;Sankt Augustin;https://www.bestatter.de/verzeichnis/
Wilhelm Schmidt e. K.;Kurgartenstr. 123;23570;Lübeck-Travemünde;https://www.bestatter.de/verzeichnis/
Bestattungsgesellschaft Schäfer & Co.(GmbH & Co.) KG;Kurgartenstr. 1-3;23570; Lübeck-Travemünde;https://www.bestatter.de/verzeichnis/
Bestattungshaus Peter Hopp Inh. Rainer Hopp;Wolburgstr. 6;23669;Timmendorfer Strand;https://www.bestatter.de/verzeichnis/
J. Bakonyi GmbH Bestattungshaus;Augustastr. 25;52070;Aachen;https://www.bestatter.de/verzeichnis/
Beerdigungsinstitut Drossard GmbH & Co. KG;Jakobstr. 100-102;52064;Aachen;https://www.bestatter.de/verzeichnis/
Beerdigungsinstitut Eduard Lauscher und Söhne GmbH;Malmedyer Str. 15;52066;Aachen;https://www.bestatter.de/verzeichnis/
Bestattungen Beckmann Inh. Tobias Beckmann;Vaalser Str. 270;52074;Aachen;https://www.bestatter.de/verzeichnis/
Beerdigungsinstitut  Göttgens-Spangenberger GmbH;Alt-Haarener-Str. 52;52080;Aachen;https://www.bestatter.de/verzeichnis/
Beerdigungsinstitut Krüttgen GmbH;Steinstr. 57a;52080;Aachen;https://www.bestatter.de/verzeichnis/
Bestattungen Birk GmbH;Trierer Str. 709;52078;Aachen;https://www.bestatter.de/verzeichnis/
Beerdigungsinstitut August Tonolo oHG;Büchel 12;52062;Aachen;https://www.bestatter.de/verzeichnis/
Hubert. Werner GmbH & Co. KG Bestattungen;Wilhelmstr. 64;52070;Aachen;https://www.bestatter.de/verzeichnis/
Beerdigungsinstitut Michael Claßen;Horbacher Str. 59;52072;Aachen;https://www.bestatter.de/verzeichnis/
Bestattungen Helga Schulteis GbR;Südstr. 63;52134;Herzogenrath;https://www.bestatter.de/verzeichnis/
Willi Kaever Inh. Stefanie Kaever e. K. Bestattungen;Südstr. 18;52134;Herzogenrath;https://www.bestatter.de/verzeichnis/
"J. H. August Ertel jr. KG ""St. Anschar"" Beerdigungs-Institut";Neuer Wall 35;20354;Hamburg;https://www.bestatter.de/verzeichnis/
Bestattungsinstitut St. Anschar  Adolf Imelmann & Sohn  GmbH & Co. KG;Sierichstraße 32;22301;Hamburg;https://www.bestatter.de/verzeichnis/
Sturzenbecher Bestattungen e.K. Erd-,Feuer und Seebestattungen Familienbetrieb seit 1893;Fruchtallee 136;20259;Hamburg;https://www.bestatter.de/verzeichnis/
Meyer & Co Beerd.-Inst. St. Anschar, Behn & Co Beerd.-Inst. St. Anschar  von 1884 e. K. Inh. Frank Kuhlmann;Große Rainstr. 25-29;22765;Hamburg;https://www.bestatter.de/verzeichnis/
